Row.names	logFC_field	logCPM_field	PValue_field	FDR_field	logFC_gh	logCPM_gh	PValue_gh	FDR_gh	logFC_mean	logFC_sum	pgsc_dmp	pgsc_dmt	pgsc_dmc	func	BINCODE	NAME	DESCRIPTION	TYPE
PGSC0003DMG400006226	-0.932988483687699	7.73919621792452	1.83693321544153e-06	0.000765764127198415	-1.36765854511843	7.24424776173474	5.55663386605858e-14	3.24812542439969e-10	-1.15032351440306	-2.30064702880613	PGSC0003DMP400011041	PGSC0003DMT400015924	PGSC0003DMC400011041	Leucine-rich_repeat_family_protein	30.2.11	signalling.receptor kinases.leucine rich repeat XI	moderately similar to ( 409) AT3G19320 | Symbols:  | leucine-rich repeat family protein | chr3:6696395-6698073 REVERSEweakly similar to ( 103) RPK1_IPONI Receptor-like protein kinase precursor (EC 2.7.11.1) - Ipomoea nil (Japanese morning glory) (Pharbitis nil)moderately similar to ( 337) loc_os04g42620 12004.m09229 protein protein binding protein, putative, expressed PGSC0003DMT400015924	TRUE
PGSC0003DMG400006643	-0.699651556947668	6.37974039577499	1.10120891937482e-05	0.00261117850735427	-0.844449624881498	5.97624203517195	8.34697115398979e-06	0.000793146383992721	-0.772050590914583	-1.54410118182917	PGSC0003DMP400011750	PGSC0003DMT400017004	PGSC0003DMC400011750	Gene_of_unknown_function	20.2.4	stress.abiotic.touch/wounding	weakly similar to ( 111) AT3G10985 | Symbols: SAG20, WI12, ATWI-12 | SAG20 (SENESCENCE ASSOCIATED GENE 20) | chr3:3442776-3443108 FORWARDmoderately similar to ( 207) WUN1_SOLTU Wound-induced protein 1 - Solanum tuberosum (Potato)weakly similar to ( 111) loc_os05g27580 12005.m07046 protein wound-induced protein WI12 containing proteinWI12  PGSC0003DMT400017004	TRUE
PGSC0003DMG400008000	-1.40246638465765	5.18704544389374	5.67402426903572e-05	0.00814726840319429	-3.41650466562236	4.40739469816122	4.47649594440592e-08	1.79718093022057e-05	-2.40948552514	-4.81897105028001	PGSC0003DMP400014066	PGSC0003DMT400020647	PGSC0003DMC400014066	L-asparaginase	13.2.3.1.1	amino acid metabolism.degradation.aspartate family.asparagine.L-asparaginase	highly similar to ( 534) AT3G16150 | Symbols:  | L-asparaginase, putative / L-asparagine amidohydrolase, putative | chr3:5471794-5473033 FORWARDmoderately similar to ( 366) ASPG_LUPLU L-asparaginase precursor (EC 3.5.1.1) (L-asparagine amidohydrolase) [Contains: L-asparaginase subunit alpha; L-asparaginase subunit beta] - Lupinus luteus (European yellow lupin)moderately similar to ( 496) loc_os04g55710 12004.m10462 protein transposon protein, putative, unclassified, expressedAsparaginase_2 COG1446 PRK10226 ASRGL1_like Ntn_Asparaginase_2_like Asparaginase_2 Glycosylasparaginase Taspase1_like Asparaginase_2_like    PGSC0003DMT400020647	TRUE
PGSC0003DMG400009213	-0.50165855130091	9.97913746280347	6.67254535773341e-05	0.00907676880610409	-0.761858079097728	9.09750833032061	9.53645475899818e-06	0.000877150212459313	-0.631758315199319	-1.26351663039864	PGSC0003DMP400016244	PGSC0003DMT400023804	PGSC0003DMC400016244	Sucrose_transport_protein	34.2.1	transport.sugars.sucrose	highly similar to ( 593) AT1G22710 | Symbols: SUC2, SUT1, ATSUC2 | SUC2 (SUCROSE-PROTON SYMPORTER 2); carbohydrate transmembrane transporter/ sucrose transmembrane transporter/ sucrose:hydrogen symporter/ sugar:hydrogen symporter | chr1:8030911-8032970 REVERSEhighly similar to ( 575) SUT_SPIOL Sucrose transport protein (Sucrose permease) (Sucrose-proton symporter) - Spinacia oleracea (Spinach)moderately similar to ( 384) loc_os12g44380 12012.m27000 protein sucrose transport protein SUC4, putative, expressed  PGSC0003DMT400023804	TRUE
PGSC0003DMG400009244	-0.712796274271391	5.66721907824283	0.000173241277085908	0.0182366078090188	-1.32075857226193	3.97162356882654	2.94175094072806e-05	0.0020605012144731	-1.01677742326666	-2.03355484653332	PGSC0003DMP400016313	PGSC0003DMT400023913	PGSC0003DMC400016313	Gibberellin-regulated_protein_1	17.6.3	hormone metabolism.gibberelin.induced-regulated-responsive-activated	GASA  PGSC0003DMT400023913	TRUE
PGSC0003DMG400009244	-0.712796274271391	5.66721907824283	0.000173241277085908	0.0182366078090188	-1.32075857226193	3.97162356882654	2.94175094072806e-05	0.0020605012144731	-1.01677742326666	-2.03355484653332	PGSC0003DMP400016314	PGSC0003DMT400023914	PGSC0003DMC400016314	Gibberellin-regulated_protein_1	17.6.3	hormone metabolism.gibberelin.induced-regulated-responsive-activated	GASA  PGSC0003DMT400023914	TRUE
PGSC0003DMG400009822	-1.06455207900214	6.87621709710483	5.74773806914458e-08	8.73859047853593e-05	-0.794587370371679	6.66707523282918	0.000562151326648359	0.0169157902981521	-0.929569724686907	-1.85913944937381	PGSC0003DMP400017336	PGSC0003DMT400025446	PGSC0003DMC400017336	Cytochrome_P450	26.10	misc.cytochrome P450	moderately similar to ( 345) AT4G36220 | Symbols: FAH1, CYP84A1 | FAH1 (FERULIC ACID 5-HYDROXYLASE 1); ferulate 5-hydroxylase/ monooxygenase | chr4:17137584-17139619 REVERSEmoderately similar to ( 318) C75A1_PETHY Flavonoid 3',5'-hydroxylase 1 (EC 1.14.13.88) (F3'5'H) (Cytochrome P450 75A1) (CYPLXXVA1) - Petunia hybrida (Petunia)moderately similar to ( 332) loc_os09g26940 12009.m05846 protein flavonoid 3-monooxygenase, putative, expressedp450 CypX       PGSC0003DMT400025446	TRUE
PGSC0003DMG400010814	-1.24377167074133	-0.585189198571258	0.000723823055327734	0.044592617167343	-1.73663277060899	0.468923669165894	0.000943676713472046	0.0242689237178094	-1.49020222067516	-2.98040444135031	PGSC0003DMP400019109	PGSC0003DMT400028040	PGSC0003DMC400019109	Conserved_gene_of_unknown_function	26.18	misc.invertase/pectin methylesterase inhibitor family protein	weakly similar to ( 106) AT4G25250 | Symbols:  | invertase/pectin methylesterase inhibitor family protein | chr4:12934632-12935231 FORWARDvery weakly similar to (87.0) 21KD_DAUCA 21 kDa protein precursor (1.2 protein) - Daucus carota (Carrot)PMEI  PGSC0003DMT400028040	TRUE
PGSC0003DMG400010814	-1.24377167074133	-0.585189198571258	0.000723823055327734	0.044592617167343	-1.73663277060899	0.468923669165894	0.000943676713472046	0.0242689237178094	-1.49020222067516	-2.98040444135031	PGSC0003DMP400019108	PGSC0003DMT400028039	PGSC0003DMC400019108	Conserved_gene_of_unknown_function	26.18	misc.invertase/pectin methylesterase inhibitor family protein	weakly similar to ( 101) AT4G25250 | Symbols:  | invertase/pectin methylesterase inhibitor family protein | chr4:12934632-12935231 FORWARDvery weakly similar to (90.1) 21KD_DAUCA 21 kDa protein precursor (1.2 protein) - Daucus carota (Carrot)PMEI  PGSC0003DMT400028039	TRUE
PGSC0003DMG400010814	-1.24377167074133	-0.585189198571258	0.000723823055327734	0.044592617167343	-1.73663277060899	0.468923669165894	0.000943676713472046	0.0242689237178094	-1.49020222067516	-2.98040444135031	PGSC0003DMP400019110	PGSC0003DMT400028041	PGSC0003DMC400019110	Conserved_gene_of_unknown_function	26.18	misc.invertase/pectin methylesterase inhibitor family protein	weakly similar to ( 113) AT4G25250 | Symbols:  | invertase/pectin methylesterase inhibitor family protein | chr4:12934632-12935231 FORWARDweakly similar to ( 103) 21KD_DAUCA 21 kDa protein precursor (1.2 protein) - Daucus carota (Carrot)very weakly similar to (80.5) loc_os06g49760 12006.m09500 protein ripening-related protein, putative, expressedPMEI  PGSC0003DMT400028041	TRUE
PGSC0003DMG400011311	-1.23821699701774	3.47477192846863	0.000545486336296927	0.0383115213258978	-1.15531198913313	3.66214328137854	0.00201228372308706	0.0414640458282371	-1.19676449307544	-2.39352898615087	PGSC0003DMP400020027	PGSC0003DMT400029422	PGSC0003DMC400020027	Epoxide_hydrolase_1	26.1	misc.misc2	moderately similar to ( 405) AT4G02340 | Symbols:  | epoxide hydrolase, putative | chr4:1035722-1037403 FORWARDmoderately similar to ( 376) loc_os05g19150 12005.m06318 protein epoxide hydrolase 2, putative, expressedMhpC PRK03592   PGSC0003DMT400029422	TRUE
PGSC0003DMG400011334	-1.14304329917892	5.09871284813371	4.58428542480094e-06	0.00146834238320317	-0.697003119237486	4.06437984530916	0.00245665161685847	0.0472430191140804	-0.920023209208202	-1.8400464184164	PGSC0003DMP400020065	PGSC0003DMT400029476	PGSC0003DMC400020065	Phylloplanin	35.2	not assigned.unknown	very weakly similar to (90.1) AT3G16660 | Symbols:  | unknown protein | chr3:5676904-5677788 FORWARDvery weakly similar to (93.2) PHYLL_TOBAC Phylloplanin precursor (T-phylloplanin) - Nicotiana tabacum (Common tobacco) PGSC0003DMT400029476	TRUE
PGSC0003DMG400011355	-2.47846430750936	1.19650394382621	7.32473785972538e-09	1.81921757826108e-05	-2.07257964055576	0.657513963366298	0.000318362075727632	0.0114425489670634	-2.27552197403256	-4.55104394806512	PGSC0003DMP400020099	PGSC0003DMT400029522	PGSC0003DMC400020099	UPF0497_membrane_protein_6	35.2	not assigned.unknown	weakly similar to ( 114) AT4G15620 | Symbols:  | integral membrane family protein | chr4:8913935-8915531 FORWARDDUF588  PGSC0003DMT400029522	TRUE
PGSC0003DMG400011365	-1.43829036908573	-1.18044223328655	0.000630734615849966	0.0415866502072914	-1.68910188528081	-0.84962804490397	0.000729170396611813	0.0202315740163801	-1.56369612718327	-3.12739225436654	PGSC0003DMP400020117	PGSC0003DMT400029549	PGSC0003DMC400020117	Nucleic_acid_binding_protein	35.2	not assigned.unknown	PGSC0003DMT400029549	TRUE
PGSC0003DMG400011365	-1.43829036908573	-1.18044223328655	0.000630734615849966	0.0415866502072914	-1.68910188528081	-0.84962804490397	0.000729170396611813	0.0202315740163801	-1.56369612718327	-3.12739225436654	PGSC0003DMP400020118	PGSC0003DMT400029550	PGSC0003DMC400020118	Nucleic_acid_binding_protein	27.3.11	RNA.regulation of transcription.C2H2 zinc finger family	moderately similar to ( 245) AT3G50700 | Symbols: AtIDD2 | AtIDD2 (Arabidopsis thaliana Indeterminate(ID)-Domain 2); nucleic acid binding / transcription factor/ zinc ion binding | chr3:18840945-18842829 FORWARDmoderately similar to ( 257) loc_os02g31890 12002.m08282 protein zinc finger, C2H2-type, putative PGSC0003DMT400029550	TRUE
PGSC0003DMG400012183	-1.31689198130611	3.88976996376982	2.64114754471858e-06	0.00105020152985841	-1.23174051893645	4.63877335097096	0.000358987047394821	0.0124208557255242	-1.27431625012128	-2.54863250024256	PGSC0003DMP400021534	PGSC0003DMT400031762	PGSC0003DMC400021534	Endo-1_4-beta-glucanase	10.6.1	cell wall.degradation.cellulases and beta -1,4-glucanases	highly similar to ( 602) AT4G09740 | Symbols: AtGH9B14 | AtGH9B14 (Arabidopsis thaliana glycosyl hydrolase 9B14); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds | chr4:6142706-6145003 REVERSEhighly similar to ( 639) GUN_PHAVU Endoglucanase precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase) (Abscission cellulase) - Phaseolus vulgaris (Kidney bean) (French bean)highly similar to ( 548) loc_os08g29770 12008.m06979 protein endoglucanase precursor, putative, expressedGlyco_hydro_9  PGSC0003DMT400031762	TRUE
PGSC0003DMG400012183	-1.31689198130611	3.88976996376982	2.64114754471858e-06	0.00105020152985841	-1.23174051893645	4.63877335097096	0.000358987047394821	0.0124208557255242	-1.27431625012128	-2.54863250024256	PGSC0003DMP400021535	PGSC0003DMT400031763	PGSC0003DMC400021535	Endo-1_4-beta-glucanase	26.3.4	misc.gluco-, galacto- and mannosidases.endoglucanase	weakly similar to ( 115) AT4G09740 | Symbols: AtGH9B14 | AtGH9B14 (Arabidopsis thaliana glycosyl hydrolase 9B14); catalytic/ hydrolase, hydrolyzing O-glycosyl compounds | chr4:6142706-6145003 REVERSEweakly similar to ( 121) GUN_PHAVU Endoglucanase precursor (EC 3.2.1.4) (Endo-1,4-beta-glucanase) (Abscission cellulase) - Phaseolus vulgaris (Kidney bean) (French bean)very weakly similar to (99.0) loc_os01g21070 12001.m08591 protein endoglucanase 1 precursor, putative, expressedGlyco_hydro_9  PGSC0003DMT400031763	TRUE
PGSC0003DMG400013439	-1.35536063343186	3.10183286617994	0.000114114329492043	0.0134675751600518	-1.35304558794076	2.74884029188565	0.000522804846454006	0.0161750944175083	-1.35420311068631	-2.70840622137261	PGSC0003DMP400023784	PGSC0003DMT400034964	PGSC0003DMC400023784	Aspartic_proteinase_oryzasin-1	29.5.4	protein.degradation.aspartate protease	highly similar to ( 516) AT1G11910 | Symbols:  | aspartyl protease family protein | chr1:4017119-4019874 REVERSEhighly similar to ( 502) ASPR1_ORYSA Aspartic proteinase oryzasin-1 precursor (EC 3.4.23.-) - Oryza sativa (Rice)highly similar to ( 502) loc_os05g49200 12005.m27639 protein aspartic proteinase oryzasin-1 precursor, putative, expressedAsp   PGSC0003DMT400034964	TRUE
PGSC0003DMG400014156	-0.844354323095269	6.12350850842549	1.59048826485588e-06	0.000721188766552019	-2.13614850066912	4.77636070561645	5.85896873205175e-10	8.90770034403585e-07	-1.49025141188219	-2.98050282376439	PGSC0003DMP400024892	PGSC0003DMT400036705	PGSC0003DMC400024892	Aspartic_proteinase_nepenthesin-1	27.3.99	RNA.regulation of transcription.unclassified	moderately similar to ( 499) AT1G79720 | Symbols:  | aspartyl protease family protein | chr1:29997259-29998951 REVERSEvery weakly similar to (82.0) ASP1_ORYSA Aspartic proteinase Asp1 precursor (EC 3.4.23.-) (OsAsp1) (OSAP1) (Nucellin-like protein) - Oryza sativa (Rice)moderately similar to ( 412) loc_os09g25570 12009.m05709 protein aspartic proteinase nepenthesin-2 precursor, putative, expressedAsp   PGSC0003DMT400036705	TRUE
PGSC0003DMG400014156	-0.844354323095269	6.12350850842549	1.59048826485588e-06	0.000721188766552019	-2.13614850066912	4.77636070561645	5.85896873205175e-10	8.90770034403585e-07	-1.49025141188219	-2.98050282376439	PGSC0003DMP400024893	PGSC0003DMT400036706	PGSC0003DMC400024893	Aspartic_proteinase_nepenthesin-1	27.3.99	RNA.regulation of transcription.unclassified	highly similar to ( 506) AT1G79720 | Symbols:  | aspartyl protease family protein | chr1:29997259-29998951 REVERSEvery weakly similar to (82.8) ASP1_ORYSA Aspartic proteinase Asp1 precursor (EC 3.4.23.-) (OsAsp1) (OSAP1) (Nucellin-like protein) - Oryza sativa (Rice)moderately similar to ( 424) loc_os09g25570 12009.m05709 protein aspartic proteinase nepenthesin-2 precursor, putative, expressedAsp   PGSC0003DMT400036706	TRUE
PGSC0003DMG400015228	-1.43287666538482	5.84023656396425	2.20469221622854e-05	0.00434249492643395	-0.792070344022897	4.01227096203913	0.000882554769922634	0.0232049955070401	-1.11247350470386	-2.22494700940772	PGSC0003DMP400026710	PGSC0003DMT400039382	PGSC0003DMC400026710	Peptide_methionine_sulfoxide_reductase	29.4	protein.postranslational modification	moderately similar to ( 250) AT5G61640 | Symbols: PMSR1, ATMSRA1 | PMSR1 (PEPTIDEMETHIONINE SULFOXIDE REDUCTASE 1); oxidoreductase, acting on sulfur group of donors, disulfide as acceptor / peptide-methionine-(S)-S-oxide reductase | chr5:24775107-24776147 FORWARDmoderately similar to ( 281) MSRA_FRAAN Peptide methionine sulfoxide reductase (EC 1.8.4.11) (Protein-methionine-S-oxide reductase) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Fruit-ripening protein E4) - Fragaria ananassa (Strawberry)moderately similar to ( 256) loc_os10g41400 12010.m22009 protein peptide methionine sulfoxide reductase, putative, expressedPRK00058 MsrA PMSR PRK05550 PRK13014 PRK05528   PGSC0003DMT400039382	TRUE
PGSC0003DMG400015897	-2.05299692091214	1.64252252056441	2.17663261937378e-05	0.0043274805138719	-2.02269354737958	0.493274402944054	5.56753360382764e-05	0.00332329038162885	-2.03784523414586	-4.07569046829172	PGSC0003DMP400027854	PGSC0003DMT400041080	PGSC0003DMC400027854	Abscisic_acid_receptor_PYL4	20.2.99	stress.abiotic.unspecified	moderately similar to ( 225) AT2G38310 | Symbols:  | unknown protein | chr2:16050251-16050874 FORWARDweakly similar to ( 192) loc_os03g18600 12003.m07282 protein cyclase/dehydrase family protein, putative, expressed PGSC0003DMT400041080	TRUE
PGSC0003DMG400016004	-1.47870067928937	5.34060381392416	4.37180384130524e-05	0.0068325999398396	-1.33690113800621	6.33320210241051	1.20897069380988e-06	0.000212565010559252	-1.40780090864779	-2.81560181729558	PGSC0003DMP400028008	PGSC0003DMT400041328	PGSC0003DMC400028008	Ethylene_response_factor_4	27.3.3	RNA.regulation of transcription.AP2/EREBP, APETALA2/Ethylene-responsive element binding protein family	weakly similar to ( 149) AT5G07580 | Symbols:  | DNA binding / transcription factor | chr5:2399525-2400349 FORWARDweakly similar to ( 119) ERF5_TOBAC Ethylene-responsive transcription factor 5 (Ethylene-responsive element-binding factor 5 homolog) (EREBP-4) (NtERF4) - Nicotiana tabacum (Common tobacco)weakly similar to ( 116) loc_os02g43820 12002.m09416 protein AP2 domain containing protein, expressedAP2 AP2  PGSC0003DMT400041328	TRUE
PGSC0003DMG400016006	-1.23065071603031	2.988519249238	3.171467445548e-06	0.0012234290686214	-2.03197376985077	3.48942695521738	2.03529730560156e-06	0.000292246078669877	-1.63131224294054	-3.26262448588108	PGSC0003DMP400028010	PGSC0003DMT400041331	PGSC0003DMC400028010	Pti4	17.5.2	hormone metabolism.ethylene.signal transduction	weakly similar to ( 173) AT4G17500 | Symbols: ATERF-1 | ATERF-1 (ETHYLENE RESPONSIVE ELEMENT BINDING FACTOR 1); DNA binding / transcription activator/ transcription factor | chr4:9759405-9760211 FORWARDmoderately similar to ( 290) ERF1_TOBAC Ethylene-responsive transcription factor 1 (Ethylene-responsive element-binding factor 1) (EREBP-1) (NtERF1) - Nicotiana tabacum (Common tobacco)weakly similar to ( 125) loc_os02g43790 12002.m09413 protein ethylene responsive protein, putative, expressedAP2 AP2  PGSC0003DMT400041331	TRUE
PGSC0003DMG400016235	-0.64613598692765	3.99587894863538	0.000112536514806807	0.0134037730953766	-0.719696235995944	3.74308596209534	0.000532711218928504	0.0163138007202059	-0.682916111461797	-1.36583222292359	PGSC0003DMP400028355	PGSC0003DMT400041841	PGSC0003DMC400028355	Conserved_gene_of_unknown_function	35.2	not assigned.unknown	weakly similar to ( 109) AT1G65295 | Symbols:  | unknown protein | chr1:24251567-24252054 FORWARDvery weakly similar to (90.5) loc_os11g27540 12011.m28799 protein expressed protein PGSC0003DMT400041841	TRUE
PGSC0003DMG400016235	-0.64613598692765	3.99587894863538	0.000112536514806807	0.0134037730953766	-0.719696235995944	3.74308596209534	0.000532711218928504	0.0163138007202059	-0.682916111461797	-1.36583222292359	PGSC0003DMP400028356	PGSC0003DMT400041842	PGSC0003DMC400028356	Conserved_gene_of_unknown_function	35.2	not assigned.unknown	weakly similar to ( 103) AT1G65295 | Symbols:  | unknown protein | chr1:24251567-24252054 FORWARDvery weakly similar to (85.9) loc_os11g27540 12011.m28799 protein expressed protein PGSC0003DMT400041842	TRUE
